time,temperature,humidity,comfort_index
2026-05-09T00:00,14.6,46,14.14
2026-05-09T01:00,14.4,40,14.0
2026-05-09T02:00,12.9,57,12.33
2026-05-09T03:00,13.5,58,12.92
2026-05-09T04:00,12.9,54,12.36
2026-05-09T05:00,11.8,60,11.2
2026-05-09T06:00,12.2,57,11.63
2026-05-09T07:00,13.2,58,12.62
2026-05-09T08:00,13.0,60,12.4
2026-05-09T09:00,11.8,70,11.1
2026-05-09T10:00,12.1,65,11.45
2026-05-09T11:00,12.7,71,11.99
2026-05-09T12:00,14.2,68,13.52
2026-05-09T13:00,15.9,65,15.25
2026-05-09T14:00,16.9,60,16.3
2026-05-09T15:00,18.8,53,18.27
2026-05-09T16:00,19.3,59,18.71
2026-05-09T17:00,20.5,53,19.97
2026-05-09T18:00,22.4,44,21.96
2026-05-09T19:00,22.8,34,22.46
2026-05-09T20:00,20.1,52,19.58
2026-05-09T21:00,19.4,56,18.84
2026-05-09T22:00,19.4,57,18.83
2026-05-09T23:00,15.6,91,14.69
2026-05-10T00:00,15.5,89,14.61
2026-05-10T01:00,15.4,91,14.49
2026-05-10T02:00,14.6,93,13.67
2026-05-10T03:00,13.9,95,12.95
2026-05-10T04:00,13.2,95,12.25
2026-05-10T05:00,12.8,95,11.85
2026-05-10T06:00,13.1,97,12.13
2026-05-10T07:00,13.0,100,12.0
2026-05-10T08:00,12.9,100,11.9
2026-05-10T09:00,13.2,99,12.21
2026-05-10T10:00,13.0,99,12.01
2026-05-10T11:00,13.5,97,12.53
2026-05-10T12:00,14.5,92,13.58
2026-05-10T13:00,15.9,86,15.04
2026-05-10T14:00,17.7,80,16.9
2026-05-10T15:00,20.3,67,19.63
2026-05-10T16:00,22.8,50,22.3
2026-05-10T17:00,24.1,45,23.65
2026-05-10T18:00,23.8,49,23.31
2026-05-10T19:00,23.5,49,23.01
2026-05-10T20:00,21.0,58,20.42
2026-05-10T21:00,20.1,59,19.51
2026-05-10T22:00,20.5,55,19.95
2026-05-10T23:00,21.5,47,21.03
2026-05-11T00:00,20.4,48,19.92
2026-05-11T01:00,17.3,63,16.67
2026-05-11T02:00,16.5,71,15.79
2026-05-11T03:00,16.4,75,15.65
2026-05-11T04:00,15.5,71,14.79
2026-05-11T05:00,13.7,70,13.0
2026-05-11T06:00,13.3,82,12.48
2026-05-11T07:00,14.0,70,13.3
2026-05-11T08:00,12.9,65,12.25
2026-05-11T09:00,10.8,74,10.06
2026-05-11T10:00,10.4,80,9.6
2026-05-11T11:00,9.9,81,9.09
2026-05-11T12:00,9.4,86,8.54
2026-05-11T13:00,9.3,86,8.44
2026-05-11T14:00,9.2,88,8.32
2026-05-11T15:00,9.6,86,8.74
2026-05-11T16:00,10.2,82,9.38
2026-05-11T17:00,11.1,77,10.33
2026-05-11T18:00,11.5,73,10.77
2026-05-11T19:00,12.0,66,11.34
2026-05-11T20:00,12.5,59,11.91
2026-05-11T21:00,12.8,55,12.25
2026-05-11T22:00,13.1,52,12.58
2026-05-11T23:00,13.2,50,12.7
2026-05-12T00:00,12.7,52,12.18
2026-05-12T01:00,13.0,54,12.46
2026-05-12T02:00,11.9,57,11.33
2026-05-12T03:00,11.2,52,10.68
2026-05-12T04:00,10.6,47,10.13
2026-05-12T05:00,10.0,45,9.55
2026-05-12T06:00,9.1,49,8.61
2026-05-12T07:00,8.8,50,8.3
2026-05-12T08:00,8.6,52,8.08
2026-05-12T09:00,8.4,56,7.84
2026-05-12T10:00,8.1,57,7.53
2026-05-12T11:00,8.4,55,7.85
2026-05-12T12:00,9.9,49,9.41
2026-05-12T13:00,11.6,41,11.19
2026-05-12T14:00,13.0,36,12.64
2026-05-12T15:00,14.2,32,13.88
2026-05-12T16:00,15.4,30,15.1
2026-05-12T17:00,16.4,29,16.11
2026-05-12T18:00,17.5,28,17.22
2026-05-12T19:00,18.4,29,18.11
2026-05-12T20:00,18.8,29,18.51
2026-05-12T21:00,18.8,29,18.51
2026-05-12T22:00,18.4,31,18.09
2026-05-12T23:00,17.8,33,17.47
2026-05-13T00:00,16.6,37,16.23
2026-05-13T01:00,15.8,42,15.38
2026-05-13T02:00,15.3,47,14.83
2026-05-13T03:00,14.5,48,14.02
2026-05-13T04:00,13.2,54,12.66
2026-05-13T05:00,12.8,54,12.26
2026-05-13T06:00,12.7,54,12.16
2026-05-13T07:00,12.4,55,11.85
2026-05-13T08:00,11.9,57,11.33
2026-05-13T09:00,11.4,61,10.79
2026-05-13T10:00,11.2,64,10.56
2026-05-13T11:00,11.6,65,10.95
2026-05-13T12:00,12.2,62,11.58
2026-05-13T13:00,13.4,57,12.83
2026-05-13T14:00,14.8,51,14.29
2026-05-13T15:00,16.2,45,15.75
2026-05-13T16:00,17.1,43,16.67
2026-05-13T17:00,17.9,42,17.48
2026-05-13T18:00,18.0,44,17.56
2026-05-13T19:00,17.2,46,16.74
2026-05-13T20:00,15.3,54,14.76
2026-05-13T21:00,15.2,53,14.67
2026-05-13T22:00,14.9,53,14.37
2026-05-13T23:00,13.8,59,13.21
2026-05-14T00:00,13.6,62,12.98
2026-05-14T01:00,13.7,66,13.04
2026-05-14T02:00,13.5,67,12.83
2026-05-14T03:00,13.3,75,12.55
2026-05-14T04:00,13.5,76,12.74
2026-05-14T05:00,13.3,82,12.48
2026-05-14T06:00,13.3,85,12.45
2026-05-14T07:00,13.4,87,12.53
2026-05-14T08:00,13.5,89,12.61
2026-05-14T09:00,13.5,90,12.6
2026-05-14T10:00,13.3,91,12.39
2026-05-14T11:00,13.0,92,12.08
