name,language,stargazers_count,created_at,forks_count,repo_score,repo_category
--food-Delivery-App,TypeScript,1,2024-08-01T13:32:13Z,0,0,Low Score
AbhiBytes,HTML,1,2024-03-14T13:15:04Z,0,0,Low Score
abhiportfolio,,0,2026-04-10T13:03:31Z,0,0,Low Score
abhishek,Jupyter Notebook,2,2022-10-16T06:09:19Z,0,0,Low Score
Abhishek-LinkTree,CSS,1,2023-11-08T11:56:13Z,0,0,Low Score
Abhishek-shankar,JavaScript,1,2024-08-25T15:16:59Z,0,0,Low Score
abhishek1shankar,,0,2026-04-10T13:12:07Z,0,0,Low Score
abhisheksd27,,3,2022-09-28T08:21:55Z,2,6,Low Score
AbhishekShankar,HTML,3,2023-07-21T03:02:38Z,0,0,Low Score
abhishekshankarPortfolio,JavaScript,0,2026-04-10T13:16:03Z,0,0,Low Score
Accordion,JavaScript,1,2024-04-14T10:59:13Z,0,0,Low Score
AI-Company-website-,JavaScript,1,2024-04-02T16:35:58Z,0,0,Low Score
android-open-project,,2,2022-10-16T07:00:24Z,0,0,Low Score
assignment-1,JavaScript,1,2024-04-20T17:20:13Z,0,0,Low Score
Attendance-Management-System,,3,2022-12-27T06:35:21Z,0,0,Low Score
Authentication-MERN-project,JavaScript,1,2024-03-05T14:37:37Z,0,0,Low Score
Backend,,0,2025-08-12T16:05:45Z,0,0,Low Score
BMI-calculator,JavaScript,1,2024-04-16T04:05:58Z,0,0,Low Score
Calculator,HTML,1,2023-11-08T06:28:18Z,0,0,Low Score
chatgpt-open-api-project,Python,1,2024-01-09T14:23:44Z,0,0,Low Score
commclassroomOP,,2,2022-10-16T14:07:04Z,0,0,Low Score
CosmicView,JavaScript,1,2024-07-24T12:15:00Z,0,0,Low Score
coursera,,2,2023-08-04T06:33:13Z,0,0,Low Score
CyberSecurity-projects,,0,2026-04-06T14:55:39Z,0,0,Low Score
Data_engineering,Python,0,2026-05-04T06:30:12Z,0,0,Low Score
DevZone,JavaScript,1,2024-05-13T05:39:40Z,0,0,Low Score
Django,Python,1,2024-08-13T08:35:43Z,0,0,Low Score
django-google-map-api-project,Python,0,2024-01-09T16:13:45Z,0,0,Low Score
Django-practice,HTML,1,2024-03-04T05:27:25Z,0,0,Low Score
Django-registration-and-login-system,,2,2023-06-07T09:04:44Z,0,0,Low Score
