time,temperature,temperature_f
2026-05-04T00:00,14.7,58.459999999999994
2026-05-04T01:00,13.0,55.4
2026-05-04T02:00,11.9,53.42
2026-05-04T03:00,11.0,51.8
2026-05-04T04:00,10.1,50.18
2026-05-04T05:00,9.6,49.28
2026-05-04T06:00,8.8,47.84
2026-05-04T07:00,8.2,46.76
2026-05-04T08:00,7.7,45.86
2026-05-04T09:00,7.5,45.5
2026-05-04T10:00,7.5,45.5
2026-05-04T11:00,8.7,47.66
2026-05-04T12:00,10.8,51.44
2026-05-04T13:00,12.6,54.68
2026-05-04T14:00,15.0,59.0
2026-05-04T15:00,17.3,63.14
2026-05-04T16:00,19.2,66.56
2026-05-04T17:00,20.4,68.72
2026-05-04T18:00,21.2,70.16
2026-05-04T19:00,21.9,71.42
2026-05-04T20:00,22.2,71.96
2026-05-04T21:00,22.4,72.32
2026-05-04T22:00,22.2,71.96
2026-05-04T23:00,20.9,69.62
2026-05-05T00:00,18.3,64.94
2026-05-05T01:00,16.4,61.519999999999996
2026-05-05T02:00,15.6,60.08
2026-05-05T03:00,14.9,58.82
2026-05-05T04:00,14.9,58.82
2026-05-05T05:00,14.8,58.64
2026-05-05T06:00,13.5,56.3
2026-05-05T07:00,13.1,55.58
2026-05-05T08:00,12.5,54.5
2026-05-05T09:00,12.0,53.6
2026-05-05T10:00,11.8,53.24
2026-05-05T11:00,13.6,56.48
2026-05-05T12:00,16.3,61.34
2026-05-05T13:00,18.8,65.84
2026-05-05T14:00,21.0,69.8
2026-05-05T15:00,22.3,72.14
2026-05-05T16:00,24.4,75.92
2026-05-05T17:00,26.1,78.98
2026-05-05T18:00,27.0,80.6
2026-05-05T19:00,26.4,79.52
2026-05-05T20:00,27.1,80.78
2026-05-05T21:00,26.6,79.88
2026-05-05T22:00,25.3,77.54
2026-05-05T23:00,23.6,74.48
2026-05-06T00:00,20.9,69.62
2026-05-06T01:00,19.7,67.46
2026-05-06T02:00,19.2,66.56
2026-05-06T03:00,18.6,65.48
2026-05-06T04:00,18.5,65.3
2026-05-06T05:00,18.5,65.3
2026-05-06T06:00,18.2,64.75999999999999
2026-05-06T07:00,18.0,64.4
2026-05-06T08:00,17.7,63.86
2026-05-06T09:00,17.4,63.32
2026-05-06T10:00,17.1,62.78
2026-05-06T11:00,17.2,62.959999999999994
2026-05-06T12:00,17.7,63.86
2026-05-06T13:00,18.5,65.3
2026-05-06T14:00,18.2,64.75999999999999
2026-05-06T15:00,16.7,62.059999999999995
2026-05-06T16:00,15.7,60.26
2026-05-06T17:00,15.4,59.72
2026-05-06T18:00,15.3,59.540000000000006
2026-05-06T19:00,15.5,59.9
2026-05-06T20:00,15.6,60.08
2026-05-06T21:00,15.7,60.26
2026-05-06T22:00,15.9,60.62
2026-05-06T23:00,16.0,60.8
2026-05-07T00:00,15.9,60.62
2026-05-07T01:00,15.7,60.26
2026-05-07T02:00,15.8,60.440000000000005
2026-05-07T03:00,15.8,60.440000000000005
2026-05-07T04:00,15.8,60.440000000000005
2026-05-07T05:00,15.6,60.08
2026-05-07T06:00,15.1,59.18
2026-05-07T07:00,13.8,56.84
2026-05-07T08:00,13.1,55.58
2026-05-07T09:00,13.0,55.4
2026-05-07T10:00,12.4,54.32
2026-05-07T11:00,12.1,53.78
2026-05-07T12:00,12.1,53.78
2026-05-07T13:00,13.0,55.4
2026-05-07T14:00,12.0,53.6
2026-05-07T15:00,12.2,53.96
2026-05-07T16:00,11.6,52.879999999999995
2026-05-07T17:00,11.5,52.7
2026-05-07T18:00,12.2,53.96
2026-05-07T19:00,12.2,53.96
2026-05-07T20:00,11.5,52.7
2026-05-07T21:00,12.3,54.14
2026-05-07T22:00,12.8,55.04
2026-05-07T23:00,12.4,54.32
2026-05-08T00:00,12.0,53.6
2026-05-08T01:00,10.6,51.08
2026-05-08T02:00,10.5,50.9
2026-05-08T03:00,10.3,50.54
2026-05-08T04:00,9.9,49.82
2026-05-08T05:00,9.2,48.56
2026-05-08T06:00,8.8,47.84
2026-05-08T07:00,8.4,47.120000000000005
2026-05-08T08:00,8.2,46.76
2026-05-08T09:00,7.7,45.86
2026-05-08T10:00,7.3,45.14
2026-05-08T11:00,7.4,45.32
2026-05-08T12:00,8.6,47.48
2026-05-08T13:00,10.2,50.36
2026-05-08T14:00,11.8,53.24
2026-05-08T15:00,13.3,55.94
2026-05-08T16:00,14.9,58.82
2026-05-08T17:00,15.4,59.72
